Date,Open,High,Low,Close
06/01/2021,4216.52,4234.12,4197.59,4202.04
05/28/2021,4210.77,4218.36,4203.57,4204.11
05/27/2021,4201.94,4213.38,4197.78,4200.88
05/26/2021,4191.59,4202.61,4184.11,4195.99
05/25/2021,4205.94,4213.42,4182.52,4188.13
05/24/2021,4170.16,4209.52,4170.16,4197.05
05/21/2021,4168.61,4188.72,4151.72,4155.86
05/20/2021,4121.97,4172.8,4121.97,4159.12
05/19/2021,4098.45,4116.93,4061.41,4115.68
05/18/2021,4165.94,4169.15,4125.99,4127.83
05/17/2021,4169.92,4171.92,4142.69,4163.29
05/14/2021,4129.58,4183.13,4129.58,4173.85
05/13/2021,4074.99,4131.58,4074.99,4112.5
05/12/2021,4130.55,4134.73,4056.88,4063.04
05/11/2021,4150.34,4162.04,4111.53,4152.1
05/10/2021,4228.29,4236.39,4188.13,4188.43
05/07/2021,4210.34,4238.04,4201.64,4232.6
05/06/2021,4169.14,4202.7,4147.33,4201.62
05/05/2021,4177.06,4187.72,4160.94,4167.59
05/04/2021,4179.04,4179.04,4128.59,4164.66
05/03/2021,4191.98,4209.39,4188.03,4192.66
04/30/2021,4198.1,4198.1,4174.85,4181.17
04/29/2021,4206.14,4218.78,4176.81,4211.47
04/28/2021,4185.14,4201.53,4181.78,4183.18
04/27/2021,4188.25,4193.35,4176.22,4186.72
04/26/2021,4185.03,4194.19,4182.36,4187.62
04/23/2021,4138.78,4194.17,4138.78,4180.17
04/22/2021,4170.46,4179.57,4123.69,4134.98
04/21/2021,4128.42,4175.02,4126.35,4173.42
04/20/2021,4159.18,4159.18,4118.38,4134.94
04/19/2021,4179.8,4180.81,4150.47,4163.26
04/16/2021,4174.14,4191.31,4170.75,4185.47
04/15/2021,4139.76,4173.49,4139.76,4170.42
04/14/2021,4141.58,4151.69,4120.87,4124.66
04/13/2021,4130.1,4148,4124.43,4141.59
04/12/2021,4124.71,4131.76,4114.82,4127.99
04/09/2021,4096.11,4129.48,4095.51,4128.8
04/08/2021,4089.95,4098.19,4082.54,4097.17
04/07/2021,4074.29,4083.13,4068.31,4079.95
04/06/2021,4075.57,4086.23,4068.14,4073.94
04/05/2021,4034.44,4083.42,4034.44,4077.91
04/01/2021,3992.78,4020.63,3992.78,4019.87
03/31/2021,3967.25,3994.41,3966.98,3972.89
03/30/2021,3963.34,3968.01,3944.35,3958.55
03/29/2021,3969.31,3981.83,3943.25,3971.09
03/26/2021,3917.12,3978.19,3917.12,3974.54
03/25/2021,3879.34,3919.54,3853.5,3909.52
03/24/2021,3919.93,3942.08,3889.07,3889.14
03/23/2021,3937.6,3949.13,3901.57,3910.52
03/22/2021,3916.48,3955.31,3914.16,3940.59
03/19/2021,3913.14,3930.12,3886.75,3913.1
03/18/2021,3953.5,3969.62,3910.86,3915.46
